id,text,label,sub_label,toxic_spans,tokens,toxic_list,BIO_tags
5003,"ایک جملہ ھی حضرت علی علیہ السلام کی فضیلت کے لئے کافی ہے۔ "" من کنت مولا فھذا علی مولا ""  اپنے مولا سے کوئی کیسے افضل ھو سکتا ھے؟",non_toxic,normal,"
[]","['ایک', 'جملہ', 'ھی', 'حضرت', 'علی', 'علیہ', 'السلام', 'کی', 'فضیلت', 'کے', 'لئے', 'کافی', 'ہے', '۔', '""', 'من', 'کنت', 'مولا', 'فھذا', 'علی', 'مولا', '""', 'اپنے', 'مولا', 'سے', 'کوئی', 'کیسے', 'افضل', 'ھو', 'سکتا', 'ھے', '؟']",['[]'],"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-Toxic', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
5005,علامہ یٰسین صاحب آپ نے جس زاویے سے حضرت علی علیہ السلام کی فضیلت ثابت کی ہے میں نے تو اپنی پوری زندگی میں اپنے علامہ سے بھی اس طرح کی گفتگو نہیں سنی اور وہ بھی اہلسنت والجماعت کی احادیث سے یعنی کمال کر دیا آپ نے۔اب یہ بات اہلسنت والجماعت کے با شعور عوام کے لیے بھی غور طلب ہے کہ ان کی کتابوں میں کیا لکھا ہے اور یہ نام نہاد علماء آپ کو کیا منجن بیچ رہے ہیں ۔,non_toxic,normal,[],"['علامہ', 'یٰسین', 'صاحب', 'آپ', 'نے', 'جس', 'زاویے', 'سے', 'حضرت', 'علی', 'علیہ', 'السلام', 'کی', 'فضیلت', 'ثابت', 'کی', 'ہے', 'میں', 'نے', 'تو', 'اپنی', 'پوری', 'زندگی', 'میں', 'اپنے', 'علامہ', 'سے', 'بھی', 'اس', 'طرح', 'کی', 'گفتگو', 'نہیں', 'سنی', 'اور', 'وہ', 'بھی', 'اہلسنت', 'والجماعت', 'کی', 'احادیث', 'سے', 'یعنی', 'کمال', 'کر', 'دیا', 'آپ', 'نے', '۔', 'اب', 'یہ', 'بات', 'اہلسنت', 'والجماعت', 'کے', 'با', 'شعور', 'عوام', 'کے', 'لیے', 'بھی', 'غور', 'طلب', 'ہے', 'کہ', 'ان', 'کی', 'کتابوں', 'میں', 'کیا', 'لکھا', 'ہے', 'اور', 'یہ', 'نام', 'نہاد', 'علماء', 'آپ', 'کو', 'کیا', 'منجن', 'بیچ', 'رہے', 'ہیں', '۔']",['[]'],"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
5010,"شاہ جی سنی ہونے کا حق ادا کررہے ہیں
اور ان کے دلائل زیادہ مضبوط ہیں",non_toxic,normal,[],"['شاہ', 'جی', 'سنی', 'ہونے', 'کا', 'حق', 'ادا', 'کررہے', 'ہیں', 'اور', 'ان', 'کے', 'دلائل', 'زیادہ', 'مضبوط', 'ہیں']",['[]'],"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
5014,وہ سنی ہی نہیں جو افضلیت صدیق اکبر کا قائل نہیں,non_toxic,normal,[],"['وہ', 'سنی', 'ہی', 'نہیں', 'جو', 'افضلیت', 'صدیق', 'اکبر', 'کا', 'قائل', 'نہیں']",['[]'],"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
5015,بےادب ہرگز عالم نہیں ہوسکتا,non_toxic,normal,[],"['بےادب', 'ہرگز', 'عالم', 'نہیں', 'ہوسکتا']",['[]'],"['B-Toxic', 'O', 'O', 'O', 'O']"
5019,آپ سے سوال ہے کہ آپ نے اپنے کافی وقت سے اتنے علماء سنی و شیعہ کے درمیان ڈیبیٹ کروائے ہیں تو آپ کس فیصلہ پر پہنچے ہیں ؟ آپ کا نظریہ کیا ہے ؟ آپ نے کیا پایا ہے کہ کون ٹھیک ہے عقائد کی بنا پر اور قرآن و احادیث سے ؟؟؟,non_toxic,normal,[],"['awais', 'rabbani', 'sb', 'آپ', 'سے', 'سوال', 'ہے', 'کہ', 'آپ', 'نے', 'اپنے', 'کافی', 'وقت', 'سے', 'اتنے', 'علماء', 'سنی', 'و', 'شیعہ', 'کے', 'درمیان', 'ڈیبیٹ', 'کروائے', 'ہیں', 'تو', 'آپ', 'کس', 'فیصلہ', 'پر', 'پہنچے', 'ہیں', '؟', 'آپ', 'کا', 'نظریہ', 'کیا', 'ہے', '؟', 'آپ', 'نے', 'کیا', 'پایا', 'ہے', 'کہ', 'کون', 'ٹھیک', 'ہے', 'عقائد', 'کی', 'بنا', 'پر', 'اور', 'قرآن', 'و', 'احادیث', 'سے', '؟', '؟', '؟']",['[]'],"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
5020,"قرآن کی آیت ہے ختم اللہ علی قلوب ھم 
اللہ تعالیٰ نے انکی دلوں پر مہر لگا دی ہے یہ لوگ کبھی علی علیہ السلام کوتسلیم نہیں کرے گا بغض علی ان کے خون میں گل چکا ہیں ۔۔",non_toxic,normal,[],"['قرآن', 'کی', 'آیت', 'ہے', 'ختم', 'اللہ', 'علی', 'قلوب', 'ھم', 'اللہ', 'تعالیٰ', 'نے', 'انکی', 'دلوں', 'پر', 'مہر', 'لگا', 'دی', 'ہے', 'یہ', 'لوگ', 'کبھی', 'علی', 'علیہ', 'السلام', 'کوتسلیم', 'نہیں', 'کرے', 'گا', 'بغض', 'علی', 'ان', 'کے', 'خون', 'میں', 'گل', 'چکا', 'ہیں', '۔', '۔']",['[]'],"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
5024,السلام علیکم شاہ صاحب اپ کی بات بالکل درست ہے ہمارے بڑوں  کا جو عقیدہ ہے اس میں سب سے زیادہ سیدنا حضرت ابوبکر صدیق رضی اللہ تعالی عنہ جس کے امام سیدنا حضرت علی مرتضی شیر خدا کرم وجہ الکریم کے امام ہیں سیدنا صدیق اکبر رضی اللہ تعالی عنہ ویسے ہی سنیوں کے بھی امام سیدنا صدیق اکبر پہلے نمبر پر ہے,non_toxic,normal,[],"['السلام', 'علیکم', 'شاہ', 'صاحب', 'اپ', 'کی', 'بات', 'بالکل', 'درست', 'ہے', 'ہمارے', 'بڑوں', 'کا', 'جو', 'عقیدہ', 'ہے', 'اس', 'میں', 'سب', 'سے', 'زیادہ', 'سیدنا', 'حضرت', 'ابوبکر', 'صدیق', 'رضی', 'اللہ', 'تعالی', 'عنہ', 'جس', 'کے', 'امام', 'سیدنا', 'حضرت', 'علی', 'مرتضی', 'شیر', 'خدا', 'کرم', 'وجہ', 'الکریم', 'کے', 'امام', 'ہیں', 'سیدنا', 'صدیق', 'اکبر', 'رضی', 'اللہ', 'تعالی', 'عنہ', 'ویسے', 'ہی', 'سنیوں', 'کے', 'بھی', 'امام', 'سیدنا', 'صدیق', 'اکبر', 'پہلے', 'نمبر', 'پر', 'ہے']",['[]'],"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
5028,سنی اور شیعہ کا ملا جلا عقیدہ  کا اچار یسین منہاجی,non_toxic,normal,[],"['سنی', 'اور', 'شیعہ', 'کا', 'ملا', 'جلا', 'عقیدہ', 'کا', 'اچار', 'یسین', 'منہاجی']",['[]'],"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
5031,"بعد خدا بعد نبی ص سب سے بڑے مولا علی ع 
مولا علی ع کی وکالت کرنے والا کبھی شرمندہ نہیں ہو سکتا اور قبلہ علامہ یاسین قادری صاحب اللّٰہ اور رسول اللّٰہ ص اپ سے راضی ہیں",non_toxic,normal,[],"['بعد', 'خدا', 'بعد', 'نبی', 'ص', 'سب', 'سے', 'بڑے', 'مولا', 'علی', 'ع', 'مولا', 'علی', 'ع', 'کی', 'وکالت', 'کرنے', 'والا', 'کبھی', 'شرمندہ', 'نہیں', 'ہو', 'سکتا', 'اور', 'قبلہ', 'علامہ', 'یاسین', 'قادری', 'صاحب', 'اللّٰہ', 'اور', 'رسول', 'اللّٰہ', 'ص', 'اپ', 'سے', 'راضی', 'ہیں']",['[]'],"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
